clause,document,title,severity,insertion,reach_pct,recorded,evidence_band,tension,evidence,decision,note
"note_repay_demand","note","Repayment","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"note_default","note","Default and Acceleration","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"loan_parties","loan","Parties and Purpose","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"loan_disbursement","loan","Disbursement","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"loan_interest_yes","loan","Interest","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loan_interest_no","loan","Interest","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loan_repay_installments","loan","Repayment","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loan_repay_lump","loan","Repayment","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loan_repay_demand","loan","Repayment","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loan_collateral","loan","Collateral","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loan_default_events","loan","Events of Default","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"loan_remedies","loan","What Lender May Do on Default","critical","auto","0.1","drafting","no-evidence","unevidenced","","",""
"pt_formation","partnership","Formation and Name","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_purpose","partnership","Purpose","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_contributions","partnership","Contributions","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_shares","partnership","Profit and Loss Shares","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_decisions","partnership","Decisions","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_authority","partnership","Authority to Bind the Partnership","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_leaving","partnership","A Partner Leaving","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_dissolution","partnership","Winding Up","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"sub_parties","sublease","Parties and Premises","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"sub_consent","sublease","Landlord’s Consent","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"sub_subordinate","sublease","The Original Lease Controls","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"sub_rent","sublease","Rent","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"sub_term","sublease","Term","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"rm_rent_split","roommate","Rent Split","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"rm_leaving","roommate","If a Roommate Moves Out","critical","auto","0.3","drafting","no-evidence","unevidenced","","",""
"prop_scope_filled","proposal","What Is Proposed","critical","auto","0.0","drafting","no-evidence","unevidenced","","",""
"fq_name_availability","foreign-qualification","Name Availability and Assumed Name","recommended","auto","52.0","drafting","no-evidence","unevidenced","","",""
"fq_tax_registration","foreign-qualification","State Tax and Employer Registration","recommended","auto","52.0","drafting","no-evidence","unevidenced","","",""
"consent_issue_vesting","consent","Issuance of Interests","critical","suggest","58.7","drafting","no-evidence","unevidenced","","",""
"emp_offer","employment","Written Offer Requirements","recommended","auto","39.0","drafting","no-evidence","unevidenced","","",""
"emp_overtime","employment","Overtime","recommended","auto","39.0","authority","no-evidence","unevidenced","","",""
"emp_harassment","employment","Anti-Harassment Policy and Training","recommended","auto","39.0","authority","no-evidence","unevidenced","","",""
"exh_a_prior","schedules","Exhibit A — Prior Inventions","critical","suggest","58.7","drafting","no-evidence","unevidenced","","",""
"charter_duration","charter","Duration","optional","auto","68.6","drafting","no-evidence","unevidenced","","",""
"consent_fiscal","consent","Fiscal Year and Accounting Method","optional","auto","68.6","drafting","no-evidence","unevidenced","","",""
"gov_offices","governance","Principal Office","optional","auto","68.6","drafting","no-evidence","unevidenced","","",""
"gov_transfer","governance","Transfer Restrictions","critical","suggest","48.9","authority","no-evidence","unevidenced","","",""
"gov_buysell","governance","Buy-Sell Events","critical","suggest","48.9","drafting","no-evidence","unevidenced","","",""
"gov_vesting","governance","Vesting","critical","suggest","39.0","drafting","no-evidence","unevidenced","","",""
"charter_organizer","charter","Organizer","critical","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"charter_incorporator","charter","Incorporator","critical","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"charter_mgmt","charter","Management","critical","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"charter_shares","charter","Authorized Stock","critical","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"msa_term_insolvency","msa","Insolvency","recommended","auto","17.8","drafting","no-evidence","unevidenced","","",""
"msa_survival","msa","Survival","recommended","auto","17.8","drafting","no-evidence","unevidenced","","",""
"nda_permitted","nda","Permitted Disclosures","recommended","auto","17.8","drafting","no-evidence","unevidenced","","",""
"sow_expenses_sow","sow","Expenses","recommended","auto","17.8","drafting","no-evidence","unevidenced","","",""
"consent_directors","consent","Election of Initial Directors","critical","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"gov_capital","governance","Capital Contributions","critical","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"gov_stock_issuance","governance","Issuance of Stock","critical","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"prop_validity","proposal","How Long This Proposal Is Open","recommended","auto","17.8","drafting","no-evidence","unevidenced","","",""
"prop_next_steps","proposal","Next Steps","recommended","auto","17.8","drafting","no-evidence","unevidenced","","",""
"gov_deadlock","governance","Deadlock Resolution","critical","suggest","29.2","authority","no-evidence","unevidenced","","",""
"ea_start","employment-agreement","Start Date and Contingencies","recommended","auto","8.7","authority","no-evidence","unevidenced","","",""
"hb_ack","handbook","Acknowledgment","recommended","auto","8.7","drafting","no-evidence","unevidenced","","",""
"hb_conduct","handbook","Standards of Conduct","recommended","auto","8.7","authority","no-evidence","unevidenced","","",""
"hb_technology","handbook","Technology and Monitoring","recommended","auto","8.7","authority","no-evidence","unevidenced","","",""
"hb_leave_statutory","handbook","Statutory and Protected Leave","recommended","auto","8.7","authority","no-evidence","unevidenced","","",""
"ic_subcontract","contractor-agreement","Subcontracting","recommended","auto","4.5","drafting","no-evidence","unevidenced","","",""
"ic_no_benefits","contractor-agreement","No Benefits or Employment Rights","recommended","auto","4.5","drafting","no-evidence","unevidenced","","",""
"svc_deadline","svc","Timeline","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"svc_independent","svc","Independent Parties","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loa_deadline","loa","When","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loa_ending","loa","If It Doesn’t Work Out","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_company_desc","businessplan","Company Description","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_market_filled","businessplan","Market Analysis","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_market_blank","businessplan","Market Analysis","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_competitive","businessplan","Competitive Analysis","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_marketing_sales","businessplan","Marketing & Sales Strategy","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_mgmt_org","businessplan","Management & Organization","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"bp_funding_request","businessplan","Funding Request","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"b83_election","election-83b","Section 83(b) Election","critical","suggest","19.5","authority","no-evidence","unevidenced","","",""
"inv_disputes","invoice","Questions About This Invoice","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"lease_utilities_incl","lease","Utilities","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_utilities_sep","lease","Utilities","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_use","lease","Use of the Premises","recommended","auto","0.3","drafting","no-evidence","unevidenced","","",""
"lease_pets_yes","lease","Pets","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_pets_no","lease","Pets","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"lease_entry","lease","Landlord’s Entry","recommended","auto","0.3","drafting","no-evidence","unevidenced","","",""
"lease_moveout","lease","Move-Out Condition","recommended","auto","0.3","drafting","no-evidence","unevidenced","","",""
"note_payment_mechanics","note","How Payments Are Made and Applied","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"note_prepayment","note","Prepayment","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"note_secured","note","Security","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"loan_note_companion","loan","Promissory Note","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"loan_borrower_promises","loan","Borrower’s Promises","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"pt_term","partnership","Term","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_draws","partnership","Distributions and Draws","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_accounts","partnership","Books, Banking, and Records","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_duties","partnership","Duties Between Partners","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_new_partner","partnership","Admitting a New Partner","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"pt_transfer","partnership","No Transfer of Partnership Interests","recommended","auto","0.0","drafting","no-evidence","unevidenced","","",""
"sub_deposit","sublease","Security Deposit","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"sub_condition","sublease","Care of the Premises","recommended","auto","0.3","drafting","no-evidence","unevidenced","","",""
"sub_no_further","sublease","No Further Subletting","recommended","auto","0.3","drafting","no-evidence","unevidenced","","",""
"sub_utilities","sublease","Utilities","recommended","auto","0.3","drafting","no-evidence","unevidenced","","",""
"sub_entry_moveout","sublease","Entry and Move-Out","recommended","auto","0.3","drafting","no-evidence","unevidenced","","",""
"rm_deposit_split","roommate","Security Deposit Shares","recommended","auto","0.1","drafting","no-evidence","unevidenced","","",""
"rm_utilities","roommate","Utilities and Shared Expenses","recommended","auto","0.3","drafting","no-evidence","unevidenced","","",""
"consent_issue_plain","consent","Issuance of Interests","critical","suggest","9.9","drafting","no-evidence","unevidenced","","",""
"gov_insurance","governance","Insurance","recommended","suggest","68.6","drafting","no-evidence","unevidenced","","",""
"gov_indemnify","governance","Indemnification","recommended","suggest","68.6","authority","no-evidence","unevidenced","","",""
"ea_equity","employment-agreement","Equity Award","critical","suggest","6.7","drafting","no-evidence","unevidenced","","",""
"ea_classification","employment-agreement","Classification","critical","suggest","4.3","drafting","no-evidence","unevidenced","","",""
"ea_overtime","employment-agreement","Overtime and Timekeeping","critical","suggest","4.3","authority","no-evidence","unevidenced","","",""
"consent_ip","consent","Ratification of IP Assignment","recommended","suggest","58.7","drafting","no-evidence","unevidenced","","",""
"ipa_thirdparty","ip-assignment","No Conflicting Obligations","recommended","suggest","58.7","drafting","no-evidence","unevidenced","","",""
"consent_qualify","consent","Authorization to Qualify in Other States","recommended","suggest","52.0","drafting","no-evidence","unevidenced","","",""
"gov_conflicts","governance","Conflicts of Interest","recommended","suggest","48.9","drafting","no-evidence","unevidenced","","",""
"gov_permitted_transfers","governance","Permitted Transfers","recommended","suggest","48.9","drafting","no-evidence","unevidenced","","",""
"emp_contractor","employment","Independent Contractor Classification","recommended","suggest","39.0","drafting","no-evidence","unevidenced","","",""
"vest_accel","vesting","Double-Trigger Acceleration","recommended","suggest","39.0","drafting","no-evidence","unevidenced","","",""
"note_unsecured","note","Security","optional","auto","0.0","drafting","no-evidence","unevidenced","","",""
"charter_dirliability","charter","Limitation of Director Liability","recommended","suggest","34.3","authority","no-evidence","unevidenced","","",""
"charter_charter_indemnify","charter","Charter-Level Indemnification","recommended","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"gov_taxelect","governance","Tax Classification","recommended","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"gov_officers","governance","Officers","recommended","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"gov_distrib","governance","Distributions","recommended","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"gov_allocations","governance","Allocations of Profit and Loss","recommended","suggest","34.3","authority","no-evidence","unevidenced","","",""
"gov_expenses","governance","Expense Reimbursement","optional","suggest","68.6","drafting","no-evidence","unevidenced","","",""
"gov_drag","governance","Drag-Along","recommended","suggest","29.2","drafting","no-evidence","unevidenced","","",""
"gov_tag","governance","Tag-Along","recommended","suggest","29.2","authority","no-evidence","unevidenced","","",""
"gov_counterparts","governance","Counterparts and Electronic Signature","optional","suggest","68.6","drafting","no-evidence","unevidenced","","",""
"ipa_opensource","ip-assignment","Open Source Policy","recommended","suggest","22.9","drafting","no-evidence","unevidenced","","",""
"gov_taxdistrib","governance","Tax Distributions","recommended","suggest","24.4","drafting","no-evidence","unevidenced","","",""
"charter_preferred","charter","Blank Check Preferred","recommended","suggest","19.5","drafting","no-evidence","unevidenced","","",""
"consent_83b_ack","consent","Acknowledgment of 83(b) Deadline","recommended","suggest","19.5","authority","no-evidence","unevidenced","","",""
"ipa_moral","ip-assignment","Waiver of Moral Rights","optional","suggest","58.7","drafting","no-evidence","unevidenced","","",""
"vest_leave","vesting","Leave of Absence","optional","suggest","58.7","drafting","no-evidence","unevidenced","","",""
"gov_solemember","governance","Sole Owner Provisions","recommended","suggest","19.7","drafting","no-evidence","unevidenced","","",""
"prop_deliverables","proposal","Deliverables","recommended","suggest","17.8","drafting","no-evidence","unevidenced","","",""
"msa_liability_supercap","msa","Enhanced Cap for Data and Confidentiality","recommended","suggest","11.9","drafting","no-evidence","unevidenced","","",""
"cal_baa_review","compliance-calendar","Annual BAA and Security Review","recommended","suggest","11.4","authority","no-evidence","unevidenced","","",""
"gov_licens","governance","Licensure and Scope of Practice","recommended","suggest","11.4","drafting","no-evidence","unevidenced","","",""
"dpa_liability","dpa","Liability under this Addendum","recommended","suggest","8.9","drafting","no-evidence","unevidenced","","",""
"gov_manager","governance","Managers","recommended","suggest","9.9","authority","no-evidence","unevidenced","","",""
"ea_bonus","employment-agreement","Bonus","recommended","suggest","8.7","authority","no-evidence","unevidenced","","",""
"ea_outside_activity","employment-agreement","Outside Activities","recommended","suggest","8.7","authority","no-evidence","unevidenced","","",""
"svc_revisions","svc","Revisions and Acceptance","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"svc_warranty_cap","svc","Promises and Limits","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"bp_risks","businessplan","Risks","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"emp_arbitration","employment","Arbitration of Employment Disputes","optional","suggest","39.0","drafting","no-evidence","unevidenced","","",""
"ea_location","employment-agreement","Work Location","recommended","suggest","2.0","authority","no-evidence","unevidenced","","",""
"inv_payment_methods","invoice","How to Pay","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"inv_late_fee","invoice","Late Payments","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"lease_occupants","lease","Occupants","recommended","suggest","0.3","drafting","no-evidence","unevidenced","","",""
"lease_late","lease","Late Charges and Returned Payments","recommended","suggest","0.3","drafting","no-evidence","unevidenced","","",""
"lease_sublet","lease","Assignment and Subletting","recommended","suggest","0.3","drafting","no-evidence","unevidenced","","",""
"note_costs","note","Collection Costs","recommended","suggest","0.1","drafting","no-evidence","unevidenced","","",""
"loan_prepayment","loan","Prepayment","recommended","suggest","0.1","drafting","no-evidence","unevidenced","","",""
"loan_costs","loan","Collection Costs","recommended","suggest","0.1","drafting","no-evidence","unevidenced","","",""
"pt_time","partnership","Time and Outside Activities","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"pt_death_disability","partnership","Death or Incapacity of a Partner","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_govlaw","*","Governing Law","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_entire","*","Entire Agreement","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_amend","*","Amendment","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_notices","*","Notices","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_severability","*","Severability","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_assignment","*","Assignment","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_dispute","*","Dispute Resolution","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_liability","*","Limitation of Liability","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_term_cause","*","Termination for Cause","recommended","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"gov_committees","governance","Board Committees","optional","suggest","34.3","authority","no-evidence","unevidenced","","",""
"gov_dividends","governance","Dividends","optional","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"gov_privacy_notice","governance","Public Privacy Notice","optional","suggest","34.3","drafting","no-evidence","unevidenced","","",""
"prop_background","proposal","Background","optional","suggest","17.8","drafting","no-evidence","unevidenced","","",""
"prop_approach","proposal","Approach","optional","suggest","17.8","drafting","no-evidence","unevidenced","","",""
"prop_whats_included","proposal","What’s Included","optional","suggest","17.8","drafting","no-evidence","unevidenced","","",""
"prop_questions","proposal","Questions","optional","suggest","17.8","drafting","no-evidence","unevidenced","","",""
"nda_residuals","nda","Residuals","optional","suggest","8.9","drafting","no-evidence","unevidenced","","",""
"ea_severance","employment-agreement","Severance","optional","suggest","8.7","drafting","no-evidence","unevidenced","","",""
"ic_expenses","contractor-agreement","Expenses","optional","suggest","4.5","drafting","no-evidence","unevidenced","","",""
"svc_expenses","svc","Expenses","optional","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"loa_whole","loa","One Page, On Purpose","optional","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"inv_thanks","invoice","Thank You","optional","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"lease_smoking","lease","Smoking","optional","suggest","0.3","drafting","no-evidence","unevidenced","","",""
"lease_holdover","lease","Holding Over","optional","suggest","0.2","drafting","no-evidence","unevidenced","","",""
"loan_use_of_funds","loan","Use of the Loan","optional","suggest","0.1","drafting","no-evidence","unevidenced","","",""
"rm_chores","roommate","Cleaning and Shared Spaces","optional","suggest","0.3","drafting","no-evidence","unevidenced","","",""
"rm_guests_quiet","roommate","Guests and Quiet Hours","optional","suggest","0.3","drafting","no-evidence","unevidenced","","",""
"rm_property","roommate","Belongings","optional","suggest","0.3","drafting","no-evidence","unevidenced","","",""
"sh_waiver","*","Waiver","optional","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_force_majeure","*","Force Majeure","optional","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_term_convenience","*","Termination for Convenience","optional","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_nonsolicit","*","Non-Solicitation of Personnel","optional","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"sh_noncompete","*","Non-Compete","optional","suggest","0.0","drafting","no-evidence","unevidenced","","",""
"msa_term_cause","msa","Termination for Cause","critical","auto","17.8","authority","evidence-drafting","stuck","this-agreement","",""
"sow_acceptance","sow","Acceptance Criteria","critical","auto","17.8","authority","evidence-drafting","stuck","two-party-labels","",""
