clause,document,title,severity,decision,by_exception,current,flips,law_talk,note
"gov_allocations","governance","Allocations of Profit and Loss","recommended","drafting","default","authority","flip","","drafting: the ""governance"" default"
"gov_dividends","governance","Dividends","optional","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_expenses","governance","Expense Reimbursement","optional","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_transfer","governance","Transfer Restrictions","critical","drafting","default","authority","flip","","drafting: the ""governance"" default"
"gov_permitted_transfers","governance","Permitted Transfers","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_buysell","governance","Buy-Sell Events","critical","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_vesting","governance","Vesting","critical","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_drag","governance","Drag-Along","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_tag","governance","Tag-Along","recommended","drafting","default","authority","flip","","drafting: the ""governance"" default"
"gov_deadlock","governance","Deadlock Resolution","critical","drafting","default","authority","flip","","drafting: the ""governance"" default"
"gov_dataproc","governance","Data Processing and Privacy","recommended","drafting","default","authority","flip","describes something as statutory","drafting: the ""governance"" default"
"gov_privacy_notice","governance","Public Privacy Notice","optional","authority","exception","drafting","flip","","authority: named exception to the ""governance"" default of drafting"
"gov_baa","governance","HIPAA Business Associate Obligations","critical","authority","exception","authority","","","authority: named exception to the ""governance"" default of drafting"
"gov_lien","governance","Lien Rights and Retainage","recommended","authority","exception","authority","","","authority: named exception to the ""governance"" default of drafting"
"gov_licens","governance","Licensure and Scope of Practice","recommended","authority","exception","drafting","flip","","authority: named exception to the ""governance"" default of drafting"
"gov_insurance","governance","Insurance","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_indemnify","governance","Indemnification","recommended","drafting","default","authority","flip","","drafting: the ""governance"" default"
"gov_dissolution","governance","Dissolution","recommended","drafting","default","drafting","","","drafting: the ""governance"" default"
"gov_counterparts","governance","Counterparts and Electronic Signature","optional","drafting","default","drafting","","","drafting: the ""governance"" default"
"charter_name","charter","Name","critical","drafting","default","drafting","","","drafting: the ""charter"" default"
"charter_purpose","charter","Purpose","critical","authority","exception","authority","","","authority: named exception to the ""charter"" default of drafting"
"charter_agent","charter","Registered Office and Agent","critical","drafting","default","drafting","","","drafting: the ""charter"" default"
"charter_organizer","charter","Organizer","critical","drafting","default","drafting","","","drafting: the ""charter"" default"
"charter_incorporator","charter","Incorporator","critical","drafting","default","drafting","","","drafting: the ""charter"" default"
"charter_mgmt","charter","Management","critical","drafting","default","drafting","","","drafting: the ""charter"" default"
"charter_shares","charter","Authorized Stock","critical","drafting","default","drafting","","","drafting: the ""charter"" default"
"charter_preferred","charter","Blank Check Preferred","recommended","drafting","default","drafting","","","drafting: the ""charter"" default"
"charter_dirliability","charter","Limitation of Director Liability","recommended","drafting","default","authority","flip","","drafting: the ""charter"" default"
"charter_charter_indemnify","charter","Charter-Level Indemnification","recommended","drafting","default","drafting","","","drafting: the ""charter"" default"
"charter_duration","charter","Duration","optional","drafting","default","drafting","","","drafting: the ""charter"" default"
"consent_adopt","consent","Adoption of Governing Documents","critical","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_directors","consent","Election of Initial Directors","critical","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_issue_vesting","consent","Issuance of Interests","critical","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_issue_plain","consent","Issuance of Interests","critical","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_ip","consent","Ratification of IP Assignment","recommended","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_officers","consent","Appointment of Officers","recommended","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_bank","consent","Banking Resolution","recommended","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_ein","consent","Tax Identification","recommended","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_fiscal","consent","Fiscal Year and Accounting Method","optional","drafting","default","drafting","","","drafting: the ""consent"" default"
"consent_83b_ack","consent","Acknowledgment of 83(b) Deadline","recommended","authority","exception","authority","","","authority: named exception to the ""consent"" default of drafting"
"consent_qualify","consent","Authorization to Qualify in Other States","recommended","drafting","default","drafting","","","drafting: the ""consent"" default"
"ipa_assign","ip-assignment","Assignment of Inventions","critical","drafting","default","drafting","","","drafting: the ""ip-assignment"" default"
"ipa_wfh","ip-assignment","Work Made For Hire","critical","authority","exception","authority","","","authority: named exception to the ""ip-assignment"" default of drafting"
"ipa_prior","ip-assignment","Prior Inventions","recommended","drafting","default","drafting","","","drafting: the ""ip-assignment"" default"
"ipa_confidential","ip-assignment","Confidentiality","recommended","drafting","default","authority","flip","","drafting: the ""ip-assignment"" default"
"ipa_thirdparty","ip-assignment","No Conflicting Obligations","recommended","drafting","default","drafting","","","drafting: the ""ip-assignment"" default"
"ipa_opensource","ip-assignment","Open Source Policy","recommended","drafting","default","drafting","","","drafting: the ""ip-assignment"" default"
"ipa_moral","ip-assignment","Waiver of Moral Rights","optional","drafting","default","drafting","","","drafting: the ""ip-assignment"" default"
"ipa_further","ip-assignment","Further Assurances and Power of Attorney","recommended","drafting","default","drafting","","","drafting: the ""ip-assignment"" default"
"vest_schedule","vesting","Vesting Schedule","critical","drafting","default","drafting","","","drafting: the ""vesting"" default"
"vest_definitions","vesting","Cause and Good Reason","recommended","drafting","default","authority","flip","","drafting: the ""vesting"" default"
"vest_leave","vesting","Leave of Absence","optional","drafting","default","drafting","","","drafting: the ""vesting"" default"
"vest_repurchase","vesting","Repurchase Right","critical","drafting","default","drafting","","","drafting: the ""vesting"" default"
"vest_accel","vesting","Double-Trigger Acceleration","recommended","drafting","default","drafting","","","drafting: the ""vesting"" default"
"vest_transfer","vesting","Restriction on Transfer of Unvested Interests","recommended","drafting","default","authority","flip","","drafting: the ""vesting"" default"
"fq_statement","foreign-qualification","Application for Authority","critical","drafting","exception","drafting","","","drafting: named exception to the ""foreign-qualification"" default of authority"
"fq_agent","foreign-qualification","In-State Registered Agent","critical","authority","default","drafting","flip","","authority: the ""foreign-qualification"" default"
"fq_name_availability","foreign-qualification","Name Availability and Assumed Name","recommended","authority","default","drafting","flip","","authority: the ""foreign-qualification"" default"
"fq_goodstanding","foreign-qualification","Certificate of Good Standing","critical","authority","default","drafting","flip","","authority: the ""foreign-qualification"" default"
"fq_tax_registration","foreign-qualification","State Tax and Employer Registration","recommended","authority","default","drafting","flip","","authority: the ""foreign-qualification"" default"
"b83_election","election-83b","Section 83(b) Election","critical","authority","default","authority","","","authority: the ""election-83b"" default"
"b83_instructions","election-83b","Filing Instructions","critical","authority","default","authority","","","authority: the ""election-83b"" default"
"sched_a_ownership","schedules","Schedule A — Ownership, Contributions, and Notice Addresses","critical","drafting","default","drafting","","","drafting: the ""schedules"" default"
"exh_a_prior","schedules","Exhibit A — Prior Inventions","critical","drafting","default","drafting","","","drafting: the ""schedules"" default"
"hb_welcome","handbook","Purpose and No-Contract Statement","critical","drafting","exception","drafting","","","drafting: named exception to the ""handbook"" default of authority"
"hb_ack","handbook","Acknowledgment","recommended","drafting","exception","drafting","","","drafting: named exception to the ""handbook"" default of authority"
"hb_i9","handbook","Work Authorization","critical","authority","default","authority","","","authority: the ""handbook"" default"
"hb_pay_schedule","handbook","Pay Schedule and Wage Statements","critical","authority","default","authority","","","authority: the ""handbook"" default"
"hb_timekeeping","handbook","Timekeeping","critical","authority","default","drafting","flip","","authority: the ""handbook"" default"
"hb_conduct","handbook","Standards of Conduct","recommended","authority","default","authority","","","authority: the ""handbook"" default"
"hb_harassment","handbook","Anti-Harassment and Anti-Retaliation","critical","drafting","exception","drafting","","","drafting: named exception to the ""handbook"" default of authority"
"hb_technology","handbook","Technology and Monitoring","recommended","authority","default","authority","","","authority: the ""handbook"" default"
"hb_leave_vacation","handbook","Vacation and PTO","critical","authority","default","authority","","","authority: the ""handbook"" default"
"hb_leave_statutory","handbook","Statutory and Protected Leave","recommended","authority","default","authority","","","authority: the ""handbook"" default"
"hb_accommodation","handbook","Reasonable Accommodation","critical","authority","default","authority","","","authority: the ""handbook"" default"
"ea_position","employment-agreement","Position and Duties","critical","drafting","default","drafting","","","drafting: the ""employment-agreement"" default"
"ea_atwill","employment-agreement","At-Will Employment","critical","drafting","default","drafting","","","drafting: the ""employment-agreement"" default"
"ea_start","employment-agreement","Start Date and Contingencies","recommended","drafting","default","authority","flip","","drafting: the ""employment-agreement"" default"
"ea_location","employment-agreement","Work Location","recommended","authority","exception","authority","","","authority: named exception to the ""employment-agreement"" default of drafting"
"ea_compensation","employment-agreement","Compensation","critical","drafting","default","drafting","","","drafting: the ""employment-agreement"" default"
"ea_classification","employment-agreement","Classification","critical","authority","exception","drafting","flip","","authority: named exception to the ""employment-agreement"" default of drafting"
"ea_overtime","employment-agreement","Overtime and Timekeeping","critical","authority","exception","authority","","","authority: named exception to the ""employment-agreement"" default of drafting"
"ea_bonus","employment-agreement","Bonus","recommended","drafting","default","authority","flip","","drafting: the ""employment-agreement"" default"
"ea_equity","employment-agreement","Equity Award","critical","drafting","default","drafting","","","drafting: the ""employment-agreement"" default"
"ea_83b_notice","employment-agreement","Tax Election Notice","recommended","authority","exception","authority","","","authority: named exception to the ""employment-agreement"" default of drafting"
"ea_benefits","employment-agreement","Benefits","recommended","drafting","default","drafting","","","drafting: the ""employment-agreement"" default"
"ea_expenses","employment-agreement","Expense Reimbursement","recommended","authority","exception","authority","","","authority: named exception to the ""employment-agreement"" default of drafting"
"ea_ip","employment-agreement","Confidentiality and Invention Assignment","critical","drafting","default","authority","flip","describes something as statutory","drafting: the ""employment-agreement"" default"
"ea_outside_activity","employment-agreement","Outside Activities","recommended","drafting","default","authority","flip","","drafting: the ""employment-agreement"" default"
"ea_prior_obligations","employment-agreement","No Conflicting Obligations","critical","drafting","default","drafting","","","drafting: the ""employment-agreement"" default"
"ea_termination","employment-agreement","Termination and Final Pay","critical","drafting","default","drafting","","","drafting: the ""employment-agreement"" default"
"ea_severance","employment-agreement","Severance","optional","drafting","default","drafting","","","drafting: the ""employment-agreement"" default"
"emp_atwill","employment","At-Will Employment","critical","drafting","exception","drafting","","","drafting: named exception to the ""employment"" default of authority"
"emp_classification","employment","Classification","critical","authority","default","drafting","flip","","authority: the ""employment"" default"
"emp_i9","employment","Work Authorization","critical","authority","default","authority","","","authority: the ""employment"" default"
"emp_offer","employment","Written Offer Requirements","recommended","drafting","exception","drafting","","","drafting: named exception to the ""employment"" default of authority"
"emp_contractor","employment","Independent Contractor Classification","recommended","drafting","exception","drafting","","","drafting: named exception to the ""employment"" default of authority"
"emp_overtime","employment","Overtime","recommended","authority","default","authority","","","authority: the ""employment"" default"
"emp_ip","employment","Employee Invention Assignment","critical","authority","default","authority","","","authority: the ""employment"" default"
"emp_harassment","employment","Anti-Harassment Policy and Training","recommended","drafting","exception","authority","flip","","drafting: named exception to the ""employment"" default of authority"
"emp_confid","employment","Confidentiality","recommended","authority","default","authority","","","authority: the ""employment"" default"
"emp_arbitration","employment","Arbitration of Employment Disputes","optional","authority","default","drafting","flip","","authority: the ""employment"" default"
"cal_83b","compliance-calendar","83(b) Filing Deadline","critical","authority","default","authority","","","authority: the ""compliance-calendar"" default"
"cal_foreign","compliance-calendar","Foreign Qualification","critical","authority","default","authority","","","authority: the ""compliance-calendar"" default"
"cal_ein","compliance-calendar","EIN and Tax Registration","recommended","authority","default","drafting","flip","","authority: the ""compliance-calendar"" default"
"cal_annual_report","compliance-calendar","Annual Report and Registered Agent","critical","authority","default","drafting","flip","","authority: the ""compliance-calendar"" default"
"cal_payroll","compliance-calendar","Payroll Tax Deposits and Filings","critical","authority","default","drafting","flip","","authority: the ""compliance-calendar"" default"
"cal_baa_review","compliance-calendar","Annual BAA and Security Review","recommended","authority","default","authority","","","authority: the ""compliance-calendar"" default"
"dpa_roles","dpa","Roles of the Parties","critical","authority","exception","drafting","flip","","authority: named exception to the ""dpa"" default of drafting"
"dpa_scope","dpa","Subject Matter and Categories","critical","drafting","default","drafting","","","drafting: the ""dpa"" default"
"dpa_instructions","dpa","Processing Instructions","critical","drafting","default","drafting","","","drafting: the ""dpa"" default"
"dpa_confidentiality","dpa","Personnel Confidentiality","recommended","drafting","default","drafting","","","drafting: the ""dpa"" default"
"dpa_assistance","dpa","Data Subject Requests","recommended","drafting","default","authority","flip","describes something as statutory","drafting: the ""dpa"" default"
"dpa_deletion","dpa","Return and Deletion","critical","drafting","default","authority","flip","says something is required by law","drafting: the ""dpa"" default"
"dpa_security","dpa","Security Measures","critical","drafting","default","drafting","","","drafting: the ""dpa"" default"
"dpa_incident","dpa","Incident Response","critical","drafting","default","drafting","","","drafting: the ""dpa"" default"
"dpa_audit","dpa","Audits and Assessments","recommended","drafting","default","drafting","","","drafting: the ""dpa"" default"
"dpa_subprocessors","dpa","Subprocessors","critical","drafting","default","authority","flip","","drafting: the ""dpa"" default"
"dpa_transfers","dpa","International Transfers","critical","drafting","default","drafting","","","drafting: the ""dpa"" default"
"dpa_liability","dpa","Liability under this Addendum","recommended","drafting","default","drafting","","","drafting: the ""dpa"" default"
"ic_engagement","contractor-agreement","Engagement and Independent Status","critical","authority","exception","drafting","flip","","authority: named exception to the ""contractor-agreement"" default of drafting"
"ic_scope","contractor-agreement","Services","critical","drafting","default","authority","flip","","drafting: the ""contractor-agreement"" default"
"ic_no_control","contractor-agreement","No Supervision or Integration","critical","drafting","default","drafting","","","drafting: the ""contractor-agreement"" default"
"ic_payment","contractor-agreement","Fees and Invoicing","critical","authority","exception","authority","","","authority: named exception to the ""contractor-agreement"" default of drafting"
"ic_taxes","contractor-agreement","Taxes and Insurance","critical","drafting","default","drafting","","","drafting: the ""contractor-agreement"" default"
"ic_expenses","contractor-agreement","Expenses","optional","drafting","default","drafting","","","drafting: the ""contractor-agreement"" default"
"ic_ip","contractor-agreement","Ownership of Work Product","critical","authority","exception","drafting","flip","","authority: named exception to the ""contractor-agreement"" default of drafting"
"ic_confidentiality","contractor-agreement","Confidentiality","critical","authority","exception","authority","","","authority: named exception to the ""contractor-agreement"" default of drafting"
"ic_subcontract","contractor-agreement","Subcontracting","recommended","drafting","default","drafting","","","drafting: the ""contractor-agreement"" default"
"ic_term","contractor-agreement","Term and Termination","critical","drafting","default","drafting","","","drafting: the ""contractor-agreement"" default"
"ic_no_benefits","contractor-agreement","No Benefits or Employment Rights","recommended","authority","exception","drafting","flip","","authority: named exception to the ""contractor-agreement"" default of drafting"
"sow_reference","sow","Governing Agreement","critical","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_scope","sow","Scope of Services","critical","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_deliverables","sow","Deliverables","critical","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_assumptions","sow","Assumptions","recommended","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_dependencies","sow","Customer Dependencies","recommended","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_personnel","sow","Key Personnel","optional","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_schedule","sow","Schedule","critical","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_fees","sow","Fees and Rates","critical","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_expenses_sow","sow","Expenses","recommended","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_change","sow","Change Control","critical","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_acceptance","sow","Acceptance Criteria","critical","drafting","default","authority","flip","","drafting: the ""sow"" default"
"sow_acceptance_deemed","sow","Deemed Acceptance","recommended","drafting","default","drafting","","","drafting: the ""sow"" default"
"sow_precedence","sow","Precedence and Signature","recommended","drafting","default","drafting","","","drafting: the ""sow"" default"
"nda_parties","nda","Parties and Purpose","critical","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_definition","nda","Definition of Confidential Information","critical","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_exclusions","nda","Exclusions","critical","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_obligations","nda","Obligations","critical","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_permitted","nda","Permitted Disclosures","recommended","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_compelled","nda","Compelled Disclosure","recommended","drafting","default","authority","flip","says something is required by law","drafting: the ""nda"" default"
"nda_residuals","nda","Residuals","optional","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_no_license","nda","No License or Warranty","recommended","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_term","nda","Term and Duration of Obligations","critical","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_return","nda","Return or Destruction","recommended","drafting","default","authority","flip","says something is required by law","drafting: the ""nda"" default"
"nda_injunctive","nda","Equitable Relief","recommended","drafting","default","drafting","","","drafting: the ""nda"" default"
"nda_no_obligation","nda","No Obligation to Proceed","optional","drafting","default","drafting","","","drafting: the ""nda"" default"
